,Unnamed: 0_x,Zipcode,July 31st Case Count,Unnamed: 0_y,August 30th Case Count,Absolute Increase,Percent Increase
0,13732,91901,78,17122,96,18,23.08
1,13733,91902,169,17123,222,53,31.36
2,13734,91905,6,17124,7,1,16.67
3,13735,91906,16,17125,19,3,18.75
4,13736,91910,1223,17126,1614,391,31.97
5,13737,91911,1489,17127,1932,443,29.75
6,13738,91913,554,17128,687,133,24.01
7,13739,91914,178,17129,239,61,34.27
8,13740,91915,325,17130,416,91,28.0
9,13741,91916,9,17131,10,1,11.11
10,13742,91917,37,17132,45,8,21.62
11,13744,91932,381,17134,487,106,27.82
12,13746,91935,57,17136,74,17,29.82
13,13747,91941,230,17137,318,88,38.26
14,13748,91942,334,17138,384,50,14.97
15,13749,91945,323,17139,409,86,26.63
16,13751,91950,1147,17141,1456,309,26.94
17,13752,91962,5,17142,5,0,0.0
18,13753,91963,24,17143,34,10,41.67
19,13754,91977,906,17144,1139,233,25.72
20,13755,91978,89,17145,120,31,34.83
21,13756,91980,12,17146,22,10,83.33
22,13757,92003,33,17147,41,8,24.24
23,13758,92004,16,17148,17,1,6.25
24,13759,92007,36,17149,47,11,30.56
25,13760,92008,131,17150,175,44,33.59
26,13761,92009,188,17151,221,33,17.55
27,13762,92010,72,17152,83,11,15.28
28,13763,92011,94,17153,116,22,23.4
29,13764,92014,58,17154,67,9,15.52
30,13765,92019,441,17155,574,133,30.16
31,13766,92020,825,17156,1057,232,28.12
32,13767,92021,776,17157,995,219,28.22
33,13768,92024,229,17158,298,69,30.13
34,13769,92025,409,17159,609,200,48.9
35,13770,92026,399,17160,554,155,38.85
36,13771,92027,486,17161,704,218,44.86
37,13772,92028,296,17162,436,140,47.3
38,13773,92029,77,17163,109,32,41.56
39,13774,92036,5,17164,10,5,100.0
40,13775,92037,203,17165,265,62,30.54
41,13776,92040,245,17166,346,101,41.22
42,13777,92054,244,17167,345,101,41.39
43,13778,92055,60,17168,85,25,41.67
44,13779,92056,269,17169,400,131,48.7
45,13780,92057,314,17170,454,140,44.59
46,13781,92058,169,17171,262,93,55.03
47,13782,92059,48,17172,71,23,47.92
48,13783,92060,1,17173,2,1,100.0
49,13784,92061,13,17174,15,2,15.38
50,13785,92064,183,17175,237,54,29.51
51,13786,92065,170,17176,273,103,60.59
52,13787,92066,3,17177,3,0,0.0
53,13788,92067,39,17178,53,14,35.9
54,13789,92069,360,17179,519,159,44.17
55,13790,92070,3,17180,3,0,0.0
56,13791,92071,283,17181,384,101,35.69
57,13792,92075,38,17182,48,10,26.32
58,13793,92078,248,17183,365,117,47.18
59,13794,92081,126,17184,162,36,28.57
60,13795,92082,99,17185,132,33,33.33
61,13796,92083,335,17186,489,154,45.97
62,13797,92084,367,17187,493,126,34.33
63,13798,92086,5,17188,18,13,260.0
64,13799,92091,7,17189,7,0,0.0
65,13800,92093,6,17190,6,0,0.0
66,13802,92101,458,17192,637,179,39.08
67,13803,92102,701,17193,870,169,24.11
68,13804,92103,283,17194,321,38,13.43
69,13805,92104,383,17195,479,96,25.07
70,13806,92105,923,17196,1255,332,35.97
71,13807,92106,88,17197,110,22,25.0
72,13808,92107,143,17198,167,24,16.78
73,13809,92108,238,17199,276,38,15.97
74,13810,92109,458,17200,534,76,16.59
75,13811,92110,193,17201,233,40,20.73
76,13812,92111,301,17202,405,104,34.55
77,13813,92113,1146,17203,1468,322,28.1
78,13814,92114,913,17204,1178,265,29.03
79,13815,92115,684,17205,861,177,25.88
80,13816,92116,198,17206,251,53,26.77
81,13817,92117,305,17207,384,79,25.9
82,13818,92118,103,17208,125,22,21.36
83,13819,92119,102,17209,128,26,25.49
84,13820,92120,156,17210,197,41,26.28
85,13821,92121,19,17211,20,1,5.26
86,13822,92122,132,17212,160,28,21.21
87,13823,92123,179,17213,238,59,32.96
88,13824,92124,130,17214,155,25,19.23
89,13825,92126,361,17215,461,100,27.7
90,13826,92127,164,17216,203,39,23.78
91,13827,92128,183,17217,230,47,25.68
92,13828,92129,173,17218,228,55,31.79
93,13829,92130,213,17219,265,52,24.41
94,13830,92131,118,17220,148,30,25.42
95,13831,92134,10,17221,12,2,20.0
96,13832,92135,35,17222,38,3,8.57
97,13833,92136,79,17223,89,10,12.66
98,13834,92139,529,17224,652,123,23.25
99,13835,92140,63,17225,89,26,41.27
100,13836,92145,7,17226,8,1,14.29
101,13837,92154,1810,17227,2334,524,28.95
102,13840,92173,965,17230,1294,329,34.09
103,13843,92536,1,17233,1,0,0.0
