,Zipcode,case_count,updatedate
0,91901,1,2020/04/01 08:00:00+00
1,91902,9,2020/04/01 08:00:00+00
2,91910,23,2020/04/01 08:00:00+00
3,91911,21,2020/04/01 08:00:00+00
4,91913,20,2020/04/01 08:00:00+00
5,91914,2,2020/04/01 08:00:00+00
6,91915,7,2020/04/01 08:00:00+00
7,91916,1,2020/04/01 08:00:00+00
8,91932,2,2020/04/01 08:00:00+00
9,91935,1,2020/04/01 08:00:00+00
10,91941,4,2020/04/01 08:00:00+00
11,91942,12,2020/04/01 08:00:00+00
12,91945,10,2020/04/01 08:00:00+00
13,91950,17,2020/04/01 08:00:00+00
14,91977,21,2020/04/01 08:00:00+00
15,91978,2,2020/04/01 08:00:00+00
16,92004,1,2020/04/01 08:00:00+00
17,92007,4,2020/04/01 08:00:00+00
18,92008,7,2020/04/01 08:00:00+00
19,92009,16,2020/04/01 08:00:00+00
20,92010,9,2020/04/01 08:00:00+00
21,92011,5,2020/04/01 08:00:00+00
22,92014,11,2020/04/01 08:00:00+00
23,92019,21,2020/04/01 08:00:00+00
24,92020,34,2020/04/01 08:00:00+00
25,92021,28,2020/04/01 08:00:00+00
26,92024,23,2020/04/01 08:00:00+00
27,92025,11,2020/04/01 08:00:00+00
28,92026,6,2020/04/01 08:00:00+00
29,92027,7,2020/04/01 08:00:00+00
30,92028,5,2020/04/01 08:00:00+00
31,92029,9,2020/04/01 08:00:00+00
32,92037,29,2020/04/01 08:00:00+00
33,92040,8,2020/04/01 08:00:00+00
34,92054,7,2020/04/01 08:00:00+00
35,92056,10,2020/04/01 08:00:00+00
36,92057,7,2020/04/01 08:00:00+00
37,92058,5,2020/04/01 08:00:00+00
38,92061,2,2020/04/01 08:00:00+00
39,92064,13,2020/04/01 08:00:00+00
40,92065,6,2020/04/01 08:00:00+00
41,92066,2,2020/04/01 08:00:00+00
42,92067,12,2020/04/01 08:00:00+00
43,92069,5,2020/04/01 08:00:00+00
44,92071,12,2020/04/01 08:00:00+00
45,92075,4,2020/04/01 08:00:00+00
46,92078,9,2020/04/01 08:00:00+00
47,92081,9,2020/04/01 08:00:00+00
48,92082,1,2020/04/01 08:00:00+00
49,92083,1,2020/04/01 08:00:00+00
50,92084,9,2020/04/01 08:00:00+00
51,92091,1,2020/04/01 08:00:00+00
52,92093,1,2020/04/01 08:00:00+00
53,92101,29,2020/04/01 08:00:00+00
54,92102,14,2020/04/01 08:00:00+00
55,92103,64,2020/04/01 08:00:00+00
56,92104,31,2020/04/01 08:00:00+00
57,92105,27,2020/04/01 08:00:00+00
58,92106,7,2020/04/01 08:00:00+00
59,92107,3,2020/04/01 08:00:00+00
60,92108,15,2020/04/01 08:00:00+00
61,92109,22,2020/04/01 08:00:00+00
62,92110,15,2020/04/01 08:00:00+00
63,92111,14,2020/04/01 08:00:00+00
64,92113,26,2020/04/01 08:00:00+00
65,92114,21,2020/04/01 08:00:00+00
66,92115,19,2020/04/01 08:00:00+00
67,92116,33,2020/04/01 08:00:00+00
68,92117,18,2020/04/01 08:00:00+00
69,92118,4,2020/04/01 08:00:00+00
70,92119,4,2020/04/01 08:00:00+00
71,92120,14,2020/04/01 08:00:00+00
72,92121,3,2020/04/01 08:00:00+00
73,92122,12,2020/04/01 08:00:00+00
74,92123,17,2020/04/01 08:00:00+00
75,92124,10,2020/04/01 08:00:00+00
76,92126,21,2020/04/01 08:00:00+00
77,92127,18,2020/04/01 08:00:00+00
78,92128,25,2020/04/01 08:00:00+00
79,92129,18,2020/04/01 08:00:00+00
80,92130,21,2020/04/01 08:00:00+00
81,92131,5,2020/04/01 08:00:00+00
82,92139,17,2020/04/01 08:00:00+00
83,92145,2,2020/04/01 08:00:00+00
84,92154,25,2020/04/01 08:00:00+00
85,92161,3,2020/04/01 08:00:00+00
86,92173,8,2020/04/01 08:00:00+00
87,91901,1,2020/04/02 08:00:00+00
88,91902,10,2020/04/02 08:00:00+00
89,91910,28,2020/04/02 08:00:00+00
90,91911,24,2020/04/02 08:00:00+00
91,91913,21,2020/04/02 08:00:00+00
92,91914,3,2020/04/02 08:00:00+00
93,91915,8,2020/04/02 08:00:00+00
94,91916,1,2020/04/02 08:00:00+00
95,91932,3,2020/04/02 08:00:00+00
96,91935,1,2020/04/02 08:00:00+00
97,91941,8,2020/04/02 08:00:00+00
98,91942,12,2020/04/02 08:00:00+00
99,91945,13,2020/04/02 08:00:00+00
100,91950,18,2020/04/02 08:00:00+00
101,91977,24,2020/04/02 08:00:00+00
102,91978,3,2020/04/02 08:00:00+00
103,92004,1,2020/04/02 08:00:00+00
104,92007,4,2020/04/02 08:00:00+00
105,92008,8,2020/04/02 08:00:00+00
106,92009,16,2020/04/02 08:00:00+00
107,92010,9,2020/04/02 08:00:00+00
108,92011,6,2020/04/02 08:00:00+00
109,92014,12,2020/04/02 08:00:00+00
110,92019,26,2020/04/02 08:00:00+00
111,92020,39,2020/04/02 08:00:00+00
112,92021,28,2020/04/02 08:00:00+00
113,92024,23,2020/04/02 08:00:00+00
114,92025,12,2020/04/02 08:00:00+00
115,92026,7,2020/04/02 08:00:00+00
116,92027,6,2020/04/02 08:00:00+00
117,92028,6,2020/04/02 08:00:00+00
118,92029,9,2020/04/02 08:00:00+00
119,92037,31,2020/04/02 08:00:00+00
120,92040,9,2020/04/02 08:00:00+00
121,92054,8,2020/04/02 08:00:00+00
122,92056,11,2020/04/02 08:00:00+00
123,92057,7,2020/04/02 08:00:00+00
124,92058,5,2020/04/02 08:00:00+00
125,92061,2,2020/04/02 08:00:00+00
126,92064,13,2020/04/02 08:00:00+00
127,92065,7,2020/04/02 08:00:00+00
128,92066,2,2020/04/02 08:00:00+00
129,92067,12,2020/04/02 08:00:00+00
130,92069,7,2020/04/02 08:00:00+00
131,92071,14,2020/04/02 08:00:00+00
132,92075,4,2020/04/02 08:00:00+00
133,92078,11,2020/04/02 08:00:00+00
134,92081,10,2020/04/02 08:00:00+00
135,92082,3,2020/04/02 08:00:00+00
136,92083,2,2020/04/02 08:00:00+00
137,92084,10,2020/04/02 08:00:00+00
138,92091,2,2020/04/02 08:00:00+00
139,92093,4,2020/04/02 08:00:00+00
140,92101,29,2020/04/02 08:00:00+00
141,92102,14,2020/04/02 08:00:00+00
142,92103,65,2020/04/02 08:00:00+00
143,92104,34,2020/04/02 08:00:00+00
144,92105,29,2020/04/02 08:00:00+00
145,92106,9,2020/04/02 08:00:00+00
146,92107,3,2020/04/02 08:00:00+00
147,92108,14,2020/04/02 08:00:00+00
148,92109,24,2020/04/02 08:00:00+00
149,92110,15,2020/04/02 08:00:00+00
150,92111,15,2020/04/02 08:00:00+00
151,92113,29,2020/04/02 08:00:00+00
152,92114,24,2020/04/02 08:00:00+00
153,92115,21,2020/04/02 08:00:00+00
154,92116,31,2020/04/02 08:00:00+00
155,92117,19,2020/04/02 08:00:00+00
156,92118,4,2020/04/02 08:00:00+00
157,92119,6,2020/04/02 08:00:00+00
158,92120,16,2020/04/02 08:00:00+00
159,92121,3,2020/04/02 08:00:00+00
160,92122,13,2020/04/02 08:00:00+00
161,92123,16,2020/04/02 08:00:00+00
162,92124,11,2020/04/02 08:00:00+00
163,92126,22,2020/04/02 08:00:00+00
164,92127,19,2020/04/02 08:00:00+00
165,92128,25,2020/04/02 08:00:00+00
166,92129,18,2020/04/02 08:00:00+00
167,92130,21,2020/04/02 08:00:00+00
168,92131,6,2020/04/02 08:00:00+00
169,92136,2,2020/04/02 08:00:00+00
170,92139,18,2020/04/02 08:00:00+00
171,92145,1,2020/04/02 08:00:00+00
172,92154,28,2020/04/02 08:00:00+00
173,92161,2,2020/04/02 08:00:00+00
174,92173,12,2020/04/02 08:00:00+00
175,91901,1,2020/04/03 08:00:00+00
176,91902,10,2020/04/03 08:00:00+00
177,91910,28,2020/04/03 08:00:00+00
178,91911,26,2020/04/03 08:00:00+00
179,91913,23,2020/04/03 08:00:00+00
180,91914,4,2020/04/03 08:00:00+00
181,91915,12,2020/04/03 08:00:00+00
182,91916,1,2020/04/03 08:00:00+00
183,91932,6,2020/04/03 08:00:00+00
184,91935,1,2020/04/03 08:00:00+00
185,91941,8,2020/04/03 08:00:00+00
186,91942,12,2020/04/03 08:00:00+00
187,91945,12,2020/04/03 08:00:00+00
188,91950,19,2020/04/03 08:00:00+00
189,91977,25,2020/04/03 08:00:00+00
190,91978,3,2020/04/03 08:00:00+00
191,92004,1,2020/04/03 08:00:00+00
192,92007,4,2020/04/03 08:00:00+00
193,92008,8,2020/04/03 08:00:00+00
194,92009,17,2020/04/03 08:00:00+00
195,92010,9,2020/04/03 08:00:00+00
196,92011,7,2020/04/03 08:00:00+00
197,92014,13,2020/04/03 08:00:00+00
198,92019,27,2020/04/03 08:00:00+00
199,92020,42,2020/04/03 08:00:00+00
200,92021,30,2020/04/03 08:00:00+00
201,92024,25,2020/04/03 08:00:00+00
202,92025,12,2020/04/03 08:00:00+00
203,92026,8,2020/04/03 08:00:00+00
204,92027,7,2020/04/03 08:00:00+00
205,92028,6,2020/04/03 08:00:00+00
206,92029,9,2020/04/03 08:00:00+00
207,92037,32,2020/04/03 08:00:00+00
208,92040,10,2020/04/03 08:00:00+00
209,92054,8,2020/04/03 08:00:00+00
210,92056,11,2020/04/03 08:00:00+00
211,92057,8,2020/04/03 08:00:00+00
212,92058,5,2020/04/03 08:00:00+00
213,92061,2,2020/04/03 08:00:00+00
214,92064,13,2020/04/03 08:00:00+00
215,92065,7,2020/04/03 08:00:00+00
