,date,age_9,age10_19,age20_29,age30_39,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,genderfemale,gendermale,newtests,newcases,test_positivity_rate
14,2020/03/25 08:00:00+00,3,3,66,89,61,53,26,25,14,1,134,207,1087,58,0.053
15,2020/03/26 08:00:00+00,3,4,84,106,73,65,31,29,20,2,166,249,1023,76,0.074
16,2020/03/27 08:00:00+00,3,5,102,118,85,74,36,38,25,2,206,280,776,71,0.091
17,2020/03/28 08:00:00+00,4,6,107,130,90,79,37,39,26,1,219,298,1275,31,0.024
18,2020/03/29 08:00:00+00,4,6,121,148,105,91,52,45,29,2,256,345,687,84,0.122
19,2020/03/30 08:00:00+00,5,7,144,174,130,116,74,49,34,1,317,414,1538,131,0.085
20,2020/03/31 08:00:00+00,6,8,163,194,154,125,93,62,41,3,380,461,989,115,0.116
21,2020/04/01 08:00:00+00,8,9,187,216,170,149,108,71,45,3,439,514,2606,117,0.045
22,2020/04/02 08:00:00+00,10,12,198,238,192,177,136,88,55,6,519,585,1882,146,0.078
23,2020/04/03 08:00:00+00,10,14,209,251,212,202,152,91,64,4,570,630,1025,97,0.095
24,2020/04/04 08:00:00+00,10,15,226,286,237,222,162,99,66,3,609,710,807,117,0.145
25,2020/04/05 08:00:00+00,10,15,235,300,254,235,172,109,71,3,657,739,827,78,0.094
26,2020/04/06 08:00:00+00,10,16,240,288,259,255,190,115,79,2,701,747,1846,50,0.027
27,2020/04/07 08:00:00+00,10,16,244,301,268,278,201,123,86,3,737,785,842,76,0.09
32,2020/04/08 08:00:00+00,10,20,255,320,283,293,224,131,90,2,790,832,920,98,0.107
33,2020/04/09 08:00:00+00,10,21,264,335,292,305,235,137,92,2,821,867,1255,65,0.052
34,2020/04/10 08:00:00+00,10,22,270,343,304,318,245,143,104,2,853,902,1077,68,0.063
35,2020/04/11 08:00:00+00,10,22,273,352,312,328,250,145,109,3,877,922,804,43,0.053
36,2020/04/12 08:00:00+00,11,23,279,359,320,338,255,146,113,3,905,937,898,43,0.048
37,2020/04/13 08:00:00+00,12,24,292,367,339,352,265,155,121,3,954,971,919,83,0.09
38,2020/04/14 08:00:00+00,12,32,308,381,350,367,275,160,124,3,989,1017,836,82,0.098
