Port Name,Measure,January,February,March,April,May,June,July
Andrade,Pedestrians,"113,254","115,655","75,638","11,190","23,217","21,886","19,720"
Andrade,Personal Vehicle Passengers,"87,090","82,972","70,204","29,720","30,962","29,780","30,439"
Andrade,Personal Vehicles,"46,520","44,277","39,473","19,102","18,634","17,926","18,480"
Boquillas,Pedestrians,"2,585","3,036","2,629",,,13,10
Brownsville,Bus Passengers,"4,467","3,072","2,572",405,776,"1,052","1,200"
Brownsville,Buses,508,469,419,134,178,201,206
Brownsville,Pedestrians,"256,787","232,880","176,254","49,915","78,917","88,932","84,241"
Brownsville,Personal Vehicle Passengers,"706,955","638,585","523,214","176,319","305,295","318,015","266,521"
Brownsville,Personal Vehicles,"390,959","361,923","307,109","130,488","203,917","216,279","188,200"
Brownsville,Trucks,"23,501","23,012","25,386","14,225","16,888","22,804","25,608"
Calexico,Pedestrians,"307,717","280,949","207,848","91,982","127,077","122,714","119,874"
Calexico,Personal Vehicle Passengers,"728,764","678,645","537,799","314,832","417,071","408,685","404,641"
Calexico,Personal Vehicles,"443,958","419,497","350,636","234,933","296,304","290,504","286,021"
Calexico-East,Bus Passengers,"3,400","3,880","2,480",,160,,
Calexico-East,Buses,85,97,62,,4,,
Calexico-East,Pedestrians,"43,565","36,008","23,552","3,391","4,450","4,628","6,167"
Calexico-East,Personal Vehicle Passengers,"428,522","401,101","312,924","124,713","128,985","129,808","130,645"
Calexico-East,Personal Vehicles,"250,071","239,387","195,452","92,689","96,002","97,353","97,282"
Calexico-East,Trucks,"34,390","33,203","35,700","25,956","27,560","31,250","33,495"
Columbus,Bus Passengers,"1,417",0,0,,,,
Columbus,Buses,118,0,0,,,,
Columbus,Pedestrians,"25,043",,0,,,,
Columbus,Personal Vehicle Passengers,"62,400","56,554","50,311","24,542","39,366","43,473","43,733"
Columbus,Personal Vehicles,"29,883","28,073","25,778","15,083","22,087","23,397","23,806"
Columbus,Trucks,"1,032",468,487,710,"1,419","1,611","2,281"
Cross Border Xpress,Pedestrians,"179,451","127,902","97,428","11,396","18,291",,
Del Rio,Bus Passengers,,,,,,,
Del Rio,Buses,,,,,,,
Del Rio,Pedestrians,"19,068","18,975","12,500","5,421","48,017","9,656","6,792"
Del Rio,Personal Vehicle Passengers,"220,467","203,944","167,372","76,091","110,383","124,005","101,134"
