,CDSCode,District,School_x,Zip,WebSite,EILName,Latitude,Longitude,LastUpDate,Address,Zipcode,"School, District",AggregateLevel,CountyName,DistrictName,School_y,ReportingCategory,CumulativeEnrollment
0,37103710115998,San Diego County Office of Education,San Pasqual Academy,92025-5301,http://www.sanpasqualacademy.org,High School,33.09058,-116.95009,2019-02-13,"17701 San Pasqual Valley Road,Escondido,CA,92025",92025,"San Pasqual Academy, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,San Pasqual Academy,TA,94.0
1,37103710120485,San Diego County Office of Education,Davila Day,91910-3604,,Elementary,32.635041,-117.08832,2019-02-13,"540 G Street,Chula Vista,CA,91910",91910,"Davila Day, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,Davila Day,TA,34.0
2,37103710120493,San Diego County Office of Education,Monarch,92113-1012,http://www.monarchschools.org,Elementary-High Combination,32.702375,-117.15045,2020-08-24,"1625 Newton Avenue,San Diego,CA,92113",92113,"Monarch, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,Monarch,TA,333.0
3,37103710128520,San Diego County Office of Education,San Diego County Community,92111-7399,http://www.sdcoe.net,Elementary-High Combination,32.769578,-117.17984,2020-08-21,"6401 Linda Vista Road, Room 216,San Diego,CA,92111",92111,"San Diego County Community, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,San Diego County Community,TA,1366.0
4,37103710128538,San Diego County Office of Education,San Diego County Court,92123,http://www.sdcoe.net/jccs,High School,32.794147,-117.15396,2019-02-13,"2801 Meadow Lark Drive,San Diego,CA,92123",92123,"San Diego County Court, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,San Diego County Court,TA,1433.0
5,37103711996545,San Diego County Office of Education,North Coastal Consortium Schools,92069-3709,http://nccse.org,Elementary-High Combination,33.142539,-117.16504,2019-02-13,"255 Pico Avenue, Room 220,San Marcos,CA,92069",92069,"North Coastal Consortium Schools, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,North Coastal Consortium Schools,TA,115.0
6,37103716069355,San Diego County Office of Education,San Diego County Special Education,92111-7319,http://www.sdcoe.net,Elementary-High Combination,32.769409,-117.1796,2019-11-20,"6401 Linda Vista Road, Room 409,San Diego,CA,92111",92111,"San Diego County Special Education, San Diego County Office of Education",S,San Diego,San Diego County Office of Education,San Diego County Special Education,TA,41.0
7,37679676037535,Alpine Union Elementary,Joan MacQueen Middle,91901-3129,http://www.alpineschools.net/joanmac,Intermediate/Middle/Junior High,32.825432,-116.77538,2019-02-13,"2001 Tavern Road,Alpine,CA,91901",91901,"Joan MacQueen Middle, Alpine Union Elementary",S,San Diego,Alpine Union Elementary,Joan MacQueen Middle,TA,467.0
8,37679676106256,Alpine Union Elementary,Shadow Hills Elementary,91901-2615,http://www.alpineschools.net/shadowhills,Elementary,32.8319,-116.81522,2019-02-26,"8770 Harbison Canyon Road,Alpine,CA,91901",91901,"Shadow Hills Elementary, Alpine Union Elementary",S,San Diego,Alpine Union Elementary,Shadow Hills Elementary,TA,410.0
9,37679676109086,Alpine Union Elementary,Boulder Oaks Elementary,91901-3134,http://www.alpineschools.net/boulderoaks,Elementary,32.819163,-116.77617,2020-08-13,"2320 Tavern Road,Alpine,CA,91901",91901,"Boulder Oaks Elementary, Alpine Union Elementary",S,San Diego,Alpine Union Elementary,Boulder Oaks Elementary,TA,360.0
10,37679676109953,Alpine Union Elementary,Mountain View Learning Academy,91901-2615,http://www.alpineschools.net/mountainview,Elementary,32.832208,-116.81507,2020-08-13,"8770 Harbison Canyon Road,Alpine,CA,91901",91901,"Mountain View Learning Academy, Alpine Union Elementary",S,San Diego,Alpine Union Elementary,Mountain View Learning Academy,TA,82.0
11,37679676118723,Alpine Union Elementary,Creekside Early Learning Center,91901-2616,http://www.alpineschools.net/creekside,Elementary,32.832208,-116.81507,2019-02-13,"8818 Harbison Canyon Road,Alpine,CA,91901",91901,"Creekside Early Learning Center, Alpine Union Elementary",S,San Diego,Alpine Union Elementary,Creekside Early Learning Center,TA,293.0
12,37679833730447,Borrego Springs Unified,Borrego Springs High,92004-0235,http://www.bsusd.net,High School,33.265514,-116.38373,2019-11-06,"2281 Diegueno Road,Borrego Springs,CA,92004",92004,"Borrego Springs High, Borrego Springs Unified",S,San Diego,Borrego Springs Unified,Borrego Springs High,TA,132.0
13,37679836037550,Borrego Springs Unified,Borrego Springs Elementary,92004-0235,,Elementary,33.256865,-116.34685,2019-02-13,"1315 Palm Canyon Drive,Borrego Springs,CA,92004",92004,"Borrego Springs Elementary, Borrego Springs Unified",S,San Diego,Borrego Springs Unified,Borrego Springs Elementary,TA,194.0
