CDSCode,School,Street,StreetAbr,City,Zip,State,EILCode,Virtual,Latitude,Longitude,LastUpDate,AddrZip,SmallZip,Address
37103710108548,Iftin Charter,5465 El Cajon Boulevard,5465 El Cajon Blvd.,San Diego,92115-3620,CA,ELEM,N,32.757908,-117.07814,2020-08-13,92115,92115.0,"5465 El Cajon Boulevard, San Diego, CA, 92115"
37103710115998,San Pasqual Academy,17701 San Pasqual Valley Road,17701 San Pasqual Valley Rd.,Escondido,92025-5301,CA,HS,C,33.09058,-116.95009,2019-02-13,92025,92025.0,"17701 San Pasqual Valley Road, Escondido, CA, 92025"
37103710120485,Davila Day,540 G Street,540 G St.,Chula Vista,91910-3604,CA,ELEM,N,32.635041,-117.08832,2019-02-13,91910,91910.0,"540 G Street, Chula Vista, CA, 91910"
37103710120493,Monarch,1625 Newton Avenue,1625 Newton Ave.,San Diego,92113-1012,CA,ELEMHIGH,C,32.702375,-117.15045,2020-08-24,92113,92113.0,"1625 Newton Avenue, San Diego, CA, 92113"
37103710128520,San Diego County Community,"6401 Linda Vista Road, Room 216","6401 Linda Vista Rd., Rm. 216",San Diego,92111-7399,CA,ELEMHIGH,C,32.769578,-117.17984,2020-08-21,92111,92111.0,"6401 Linda Vista Road, Room 216, San Diego, CA, 92111"
37103710128538,San Diego County Court,2801 Meadow Lark Drive,2801 Meadow Lark Dr.,San Diego,92123,CA,HS,C,32.794147,-117.15396,2019-02-13,92123,92123.0,"2801 Meadow Lark Drive, San Diego, CA, 92123"
37103710135202,HOPE Infant-Toddler Special Education,6401 Linda Vista Road,6401 Linda Vista Rd.,San Diego,92111-7319,CA,PS,N,32.769578,-117.17984,2018-03-14,92111,92111.0,"6401 Linda Vista Road, San Diego, CA, 92111"
37103710136085,Scholarship Prep - Oceanside,4070 Mission Avenue,4070 Mission Ave.,Oceanside,92057-6402,CA,ELEM,N,33.232373,-117.317,2020-08-27,92057,92057.0,"4070 Mission Avenue, Oceanside, CA, 92057"
37103710137695,Community Montessori,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,ELEM,N,33.129426,-117.11209,2020-08-13,92026,92026.0,"1441 Montiel Road, Suite 143, Escondido, CA, 92026"
37103710137752,Dimensions Collaborative,"1441 Montiel Road, Suite 143","1441 Montiel Rd., Ste. 143",Escondido,92026-2242,CA,ELEMHIGH,N,33.129426,-117.11209,2020-08-13,92026,92026.0,"1441 Montiel Road, Suite 143, Escondido, CA, 92026"
