,CDSCode,School,Zip,EILCode,Virtual,Latitude,Longitude,LastUpDate,Address,Zipcode
0,37103710108548,Iftin Charter,92115-3620,ELEM,N,32.757908,-117.07814,2020-08-13,"5465 El Cajon Boulevard,San Diego,CA,92115",92115
1,37103710115998,San Pasqual Academy,92025-5301,HS,C,33.09058,-116.95009,2019-02-13,"17701 San Pasqual Valley Road,Escondido,CA,92025",92025
2,37103710120485,Davila Day,91910-3604,ELEM,N,32.635041,-117.08832,2019-02-13,"540 G Street,Chula Vista,CA,91910",91910
3,37103710120493,Monarch,92113-1012,ELEMHIGH,C,32.702375,-117.15045,2020-08-24,"1625 Newton Avenue,San Diego,CA,92113",92113
4,37103710128520,San Diego County Community,92111-7399,ELEMHIGH,C,32.769578,-117.17984,2020-08-21,"6401 Linda Vista Road, Room 216,San Diego,CA,92111",92111
5,37103710128538,San Diego County Court,92123,HS,C,32.794147,-117.15396,2019-02-13,"2801 Meadow Lark Drive,San Diego,CA,92123",92123
6,37103710135202,HOPE Infant-Toddler Special Education,92111-7319,PS,N,32.769578,-117.17984,2018-03-14,"6401 Linda Vista Road,San Diego,CA,92111",92111
7,37103710136085,Scholarship Prep - Oceanside,92057-6402,ELEM,N,33.232373,-117.317,2020-08-27,"4070 Mission Avenue,Oceanside,CA,92057",92057
8,37103710137695,Community Montessori,92026-2242,ELEM,N,33.129426,-117.11209,2020-08-13,"1441 Montiel Road, Suite 143,Escondido,CA,92026",92026
9,37103710137752,Dimensions Collaborative,92026-2242,ELEMHIGH,N,33.129426,-117.11209,2020-08-13,"1441 Montiel Road, Suite 143,Escondido,CA,92026",92026
10,37103710138016,Pacific Springs Charter,91913-3953,ELEM,N,32.620433,-116.97632,2020-08-13,"1615 Mater Dei Drive,Chula Vista,CA,91913",91913
11,37103710138404,Classical Academy Vista,92056-5471,ELEM,N,33.165025,-117.27027,2020-08-13,"4010 Mystra Way,Oceanside,CA,92056",92056
12,37103710138594,National University Academy Dual Language Institute,92803-7736,ELEM,N,33.172999,-117.21997,2019-03-27,"2030 University Drive,Vista,CA,92803",92803
13,37103710138792,JCS - Manzanita,91942-6014,ELEMHIGH,N,32.775721,-117.01398,2020-08-13,"5300 Jackson Drive,La Mesa,CA,91942",91942
14,37103711996545,North Coastal Consortium Schools,92069-3709,ELEMHIGH,N,33.142539,-117.16504,2019-02-13,"255 Pico Avenue, Room 220,San Marcos,CA,92069",92069
15,37103716069355,San Diego County Special Education,92111-7319,ELEMHIGH,N,32.769409,-117.1796,2019-11-20,"6401 Linda Vista Road, Room 409,San Diego,CA,92111",92111
16,37103716119119,Literacy First Charter,92020-5327,ELEMHIGH,N,32.787667,-116.95201,2020-08-13,"799 East Washington Avenue,El Cajon,CA,92020",92020
17,37679676037535,Joan MacQueen Middle,91901-3129,INTMIDJR,N,32.825432,-116.77538,2019-02-13,"2001 Tavern Road,Alpine,CA,91901",91901
18,37679676106256,Shadow Hills Elementary,91901-2615,ELEM,N,32.8319,-116.81522,2019-02-26,"8770 Harbison Canyon Road,Alpine,CA,91901",91901
